unnamed_column,duplicated_0,duplicated_1,duplicated_2,duplicated_3,duplicated_4,duplicated_5,duplicated_6,duplicated_7,duplicated_8,duplicated_9,duplicated_10,duplicated_11,duplicated_12,duplicated_13,duplicated_14,duplicated_15,duplicated_16,duplicated_17,duplicated_18,duplicated_19,duplicated_20,duplicated_21,duplicated_22,duplicated_23,duplicated_24,duplicated_25,duplicated_26
,RN,241390,Taipu,81,80.0,-1,"-1,2%",151,163.0,12,"7,9%",8,8.0,0,"0,0%",101,100.0,-1,"-1,0%",24,24.0,0,"0,0%",365,375.0,10,"2,7%"
,RN,241400,Tangará,20,17.0,-3,"-15,0%",287,264.0,-23,"-8,0%",32,5.0,-27,"-84,4%",251,298.0,47,"18,7%",125,188.0,63,"50,4%",715,772.0,57,"8,0%"
,RN,241410,Tenente Ananias,1,1.0,0,"0,0%",90,71.0,-19,"-21,1%",1,1.0,0,"0,0%",107,113.0,6,"5,6%",80,87.0,7,"8,8%",279,273.0,-6,"-2,2%"
,RN,241415,Tenente Laurentino Cruz,1,1.0,0,"0,0%",8,6.0,-2,"-25,0%",10,14.0,4,"40,0%",132,156.0,24,"18,2%",15,14.0,-1,"-6,7%",166,191.0,25,"15,1%"
,RN,241420,Tibau do Sul,53,51.0,-2,"-3,8%",93,95.0,2,"2,2%",116,115.0,-1,"-0,9%",717,765.0,48,"6,7%",2.869,2.951,82,"2,9%",3.848,3.977,129,"3,4%"
,RN,241430,Timbaúba dos Batistas,9,8.0,-1,"-11,1%",6,6.0,0,"0,0%",9,4.0,-5,"-55,6%",67,60.0,-7,"-10,4%",10,10.0,0,"0,0%",101,88.0,-13,"-12,9%"
,RN,241440,Touros,532,522.0,-10,"-1,9%",75,100.0,25,"33,3%",195,130.0,-65,"-33,3%",674,664.0,-10,"-1,5%",710,891.0,181,"25,5%",2.186,2.307,121,"5,5%"
,RN,241445,Triunfo Potiguar,2,2.0,0,"0,0%",7,6.0,-1,"-14,3%",19,38.0,19,"100,0%",3,4.0,1,"33,3%",3,2.0,-1,"-33,3%",34,52.0,18,"52,9%"
,RN,241450,Umarizal,0,0.0,0,#DIV/0!,18,17.0,-1,"-5,6%",63,26.0,-37,"-58,7%",156,192.0,36,"23,1%",154,147.0,-7,"-4,5%",391,382.0,-9,"-2,3%"
,RN,241460,Upanema,428,514.0,86,"20,1%",60,50.0,-10,"-16,7%",119,158.0,39,"32,8%",85,105.0,20,"23,5%",44,51.0,7,"15,9%",736,878.0,142,"19,3%"
,RN,241470,Várzea,11,10.0,-1,"-9,1%",10,5.0,-5,"-50,0%",0,0.0,0,#DIV/0!,42,40.0,-2,"-4,8%",38,42.0,4,"10,5%",101,97.0,-4,"-4,0%"
,RN,241475,Venha-Ver,0,0.0,0,#DIV/0!,1,1.0,0,"0,0%",0,0.0,0,#DIV/0!,0,1.0,1,#DIV/0!,1,1.0,0,"0,0%",2,3.0,1,"50,0%"
,RN,241480,Vera Cruz,84,78.0,-6,"-7,1%",111,152.0,41,"36,9%",37,24.0,-13,"-35,1%",143,148.0,5,"3,5%",35,39.0,4,"11,4%",410,441.0,31,"7,6%"
,RN,241490,Viçosa,2,0.0,-2,"-100,0%",1,1.0,0,"0,0%",0,0.0,0,#DIV/0!,2,2.0,0,"0,0%",2,12.0,10,"500,0%",7,15.0,8,"114,3%"
,RN,241500,Vila Flor,11,11.0,0,"0,0%",0,13.0,13,#DIV/0!,11,6.0,-5,"-45,5%",37,42.0,5,"13,5%",7,5.0,-2,"-28,6%",66,77.0,11,"16,7%"
,PB,250010,Água Branca,1,1.0,0,"0,0%",6,6.0,0,"0,0%",0,0.0,0,#DIV/0!,47,47.0,0,"0,0%",19,17.0,-2,"-10,5%",73,71.0,-2,"-2,7%"
,PB,250020,Aguiar,0,0.0,0,#DIV/0!,84,70.0,-14,"-16,7%",0,28.0,28,#DIV/0!,10,13.0,3,"30,0%",6,6.0,0,"0,0%",100,117.0,17,"17,0%"
,PB,250030,Alagoa Grande,85,84.0,-1,"-1,2%",157,143.0,-14,"-8,9%",27,89.0,62,"229,6%",347,336.0,-11,"-3,2%",290,287.0,-3,"-1,0%",906,939.0,33,"3,6%"
,PB,250040,Alagoa Nova,464,513.0,49,"10,6%",149,138.0,-11,"-7,4%",76,45.0,-31,"-40,8%",154,141.0,-13,"-8,4%",67,67.0,0,"0,0%",910,904.0,-6,"-0,7%"
,PB,250050,Alagoinha,20,22.0,2,"10,0%",25,16.0,-9,"-36,0%",16,25.0,9,"56,3%",84,88.0,4,"4,8%",133,132.0,-1,"-0,8%",278,283.0,5,"1,8%"
,PB,250053,Alcantil,0,0.0,0,#DIV/0!,49,60.0,11,"22,4%",5,15.0,10,"200,0%",11,7.0,-4,"-36,4%",9,13.0,4,"44,4%",74,95.0,21,"28,4%"
,PB,250057,Algodão de Jandaíra,0,0.0,0,#DIV/0!,11,17.0,6,"54,5%",0,0.0,0,#DIV/0!,16,13.0,-3,"-18,8%",4,5.0,1,"25,0%",31,35.0,4,"12,9%"
,PB,250060,Alhandra,420,466.0,46,"11,0%",853,920.0,67,"7,9%",483,521.0,38,"7,9%",727,792.0,65,"8,9%",1.205,1.328,123,"10,2%",3.688,4.027,339,"9,2%"
,PB,250070,São João do Rio do Peixe,22,22.0,0,"0,0%",80,80.0,0,"0,0%",78,63.0,-15,"-19,2%",306,331.0,25,"8,2%",247,272.0,25,"10,1%",733,768.0,35,"4,8%"
,PB,250073,Amparo,2,2.0,0,"0,0%",0,6.0,6,#DIV/0!,5,6.0,1,"20,0%",22,23.0,1,"4,5%",1,1.0,0,"0,0%",30,38.0,8,"26,7%"
,PB,250077,Aparecida,8,8.0,0,"0,0%",5,5.0,0,"0,0%",12,34.0,22,"183,3%",118,110.0,-8,"-6,8%",194,209.0,15,"7,7%",337,366.0,29,"8,6%"
,PB,250080,Araçagi,13,15.0,2,"15,4%",51,51.0,0,"0,0%",33,8.0,-25,"-75,8%",86,85.0,-1,"-1,2%",39,37.0,-2,"-5,1%",222,196.0,-26,"-11,7%"
,PB,250090,Arara,0,0.0,0,#DIV/0!,9,6.0,-3,"-33,3%",86,40.0,-46,"-53,5%",168,171.0,3,"1,8%",66,87.0,21,"31,8%",329,304.0,-25,"-7,6%"
,PB,250100,Araruna,4,4.0,0,"0,0%",10,10.0,0,"0,0%",49,67.0,18,"36,7%",209,244.0,35,"16,7%",87,86.0,-1,"-1,1%",359,411.0,52,"14,5%"
,PB,250110,Areia,142,143.0,1,"0,7%",245,291.0,46,"18,8%",148,142.0,-6,"-4,1%",294,295.0,1,"0,3%",298,333.0,35,"11,7%",1.127,1.204,77,"6,8%"
,PB,250115,Areia de Baraúnas,0,0.0,0,#DIV/0!,0,0.0,0,#DIV/0!,2,5.0,3,"150,0%",0,0.0,0,#DIV/0!,2,2.0,0,"0,0%",4,7.0,3,"75,0%"
,PB,250120,Areial,0,0.0,0,#DIV/0!,5,6.0,1,"20,0%",1,1.0,0,"0,0%",34,33.0,-1,"-2,9%",31,34.0,3,"9,7%",71,74.0,3,"4,2%"
,PB,250130,Aroeiras,20,2.0,-18,"-90,0%",22,13.0,-9,"-40,9%",2,1.0,-1,"-50,0%",168,181.0,13,"7,7%",48,48.0,0,"0,0%",260,245.0,-15,"-5,8%"
,PB,250135,Assunção,0,0.0,0,#DIV/0!,40,21.0,-19,"-47,5%",1,1.0,0,"0,0%",28,30.0,2,"7,1%",6,9.0,3,"50,0%",75,61.0,-14,"-18,7%"
,PB,250140,Baía da Traição,0,0.0,0,#DIV/0!,2,5.0,3,"150,0%",14,26.0,12,"85,7%",44,55.0,11,"25,0%",34,44.0,10,"29,4%",94,130.0,36,"38,3%"
,PB,250150,Bananeiras,30,29.0,-1,"-3,3%",136,148.0,12,"8,8%",270,226.0,-44,"-16,3%",268,302.0,34,"12,7%",393,463.0,70,"17,8%",1.097,1.168,71,"6,5%"
,PB,250153,Baraúna,0,0.0,0,#DIV/0!,0,0.0,0,#DIV/0!,0,0.0,0,#DIV/0!,38,43.0,5,"13,2%",9,40.0,31,"344,4%",47,83.0,36,"76,6%"
,PB,250157,Barra de Santana,6,7.0,1,"16,7%",8,5.0,-3,"-37,5%",0,0.0,0,#DIV/0!,39,44.0,5,"12,8%",41,44.0,3,"7,3%",94,100.0,6,"6,4%"
,PB,250160,Barra de Santa Rosa,0,0.0,0,#DIV/0!,28,34.0,6,"21,4%",42,57.0,15,"35,7%",130,139.0,9,"6,9%",47,48.0,1,"2,1%",247,278.0,31,"12,6%"
,PB,250170,Barra de São Miguel,4,2.0,-2,"-50,0%",18,15.0,-3,"-16,7%",0,23.0,23,#DIV/0!,17,17.0,0,"0,0%",8,11.0,3,"37,5%",47,68.0,21,"44,7%"
,PB,250180,Bayeux,2,0.0,-2,"-100,0%",2.563,2.743,180,"7,0%",267,203.0,-64,"-24,0%",3.673,3.669,-4,"-0,1%",2.783,2.762,-21,"-0,8%",9.288,9.377,89,"1,0%"
,PB,250190,Belém,16,18.0,2,"12,5%",468,475.0,7,"1,5%",8,31.0,23,"287,5%",230,208.0,-22,"-9,6%",129,183.0,54,"41,9%",851,915.0,64,"7,5%"
,PB,250200,Belém do Brejo do Cruz,0,0.0,0,#DIV/0!,82,139.0,57,"69,5%",12,7.0,-5,"-41,7%",14,15.0,1,"7,1%",21,22.0,1,"4,8%",129,183.0,54,"41,9%"
,PB,250205,Bernardino Batista,0,0.0,0,#DIV/0!,0,0.0,0,#DIV/0!,16,6.0,-10,"-62,5%",11,15.0,4,"36,4%",5,4.0,-1,"-20,0%",32,25.0,-7,"-21,9%"
,PB,250210,Boa Ventura,2,8.0,6,"300,0%",0,0.0,0,#DIV/0!,0,0.0,0,#DIV/0!,8,8.0,0,"0,0%",11,13.0,2,"18,2%",21,29.0,8,"38,1%"
,PB,250215,Boa Vista,70,67.0,-3,"-4,3%",491,562.0,71,"14,5%",26,8.0,-18,"-69,2%",59,56.0,-3,"-5,1%",42,58.0,16,"38,1%",688,751.0,63,"9,2%"
,PB,250220,Bom Jesus,0,0.0,0,#DIV/0!,29,35.0,6,"20,7%",4,1.0,-3,"-75,0%",19,23.0,4,"21,1%",79,3.0,-76,"-96,2%",131,62.0,-69,"-52,7%"
,PB,250230,Bom Sucesso,2,2.0,0,"0,0%",0,0.0,0,#DIV/0!,46,8.0,-38,"-82,6%",10,7.0,-3,"-30,0%",2,2.0,0,"0,0%",60,19.0,-41,"-68,3%"
,PB,250240,Bonito de Santa Fé,2,2.0,0,"0,0%",7,7.0,0,"0,0%",1,18.0,17,"1700,0%",25,28.0,3,"12,0%",26,24.0,-2,"-7,7%",61,79.0,18,"29,5%"
,PB,250250,Boqueirão,27,30.0,3,"11,1%",55,61.0,6,"10,9%",2,38.0,36,"1800,0%",233,241.0,8,"3,4%",340,262.0,-78,"-22,9%",657,632.0,-25,"-3,8%"
,PB,250260,Igaracy,0,0.0,0,#DIV/0!,26,23.0,-3,"-11,5%",3,7.0,4,"133,3%",13,14.0,1,"7,7%",10,8.0,-2,"-20,0%",52,52.0,0,"0,0%"
,PB,250270,Borborema,4,5.0,1,"25,0%",0,6.0,6,#DIV/0!,0,0.0,0,#DIV/0!,16,14.0,-2,"-12,5%",24,22.0,-2,"-8,3%",44,47.0,3,"6,8%"
,PB,250280,Brejo do Cruz,4,1.0,-3,"-75,0%",29,24.0,-5,"-17,2%",30,22.0,-8,"-26,7%",81,139.0,58,"71,6%",73,72.0,-1,"-1,4%",217,258.0,41,"18,9%"
,PB,250290,Brejo dos Santos,0,0.0,0,#DIV/0!,17,31.0,14,"82,4%",0,1.0,1,#DIV/0!,14,12.0,-2,"-14,3%",19,22.0,3,"15,8%",50,66.0,16,"32,0%"
,PB,250300,Caaporã,163,144.0,-19,"-11,7%",3.169,3.046,-123,"-3,9%",82,209.0,127,"154,9%",474,524.0,50,"10,5%",520,690.0,170,"32,7%",4.408,4.613,205,"4,7%"
,PB,250310,Cabaceiras,12,10.0,-2,"-16,7%",8,7.0,-1,"-12,5%",112,42.0,-70,"-62,5%",66,63.0,-3,"-4,5%",26,27.0,1,"3,8%",224,149.0,-75,"-33,5%"
,PB,250320,Cabedelo,5,7.0,2,"40,0%",3.750,3.638,-112,"-3,0%",3.740,4.34,600,"16,0%",6.782,7.087,305,"4,5%",5.701,6.07,369,"6,5%",19.978,21.142,1.164,"5,8%"
,PB,250330,Cachoeira dos Índios,0,0.0,0,#DIV/0!,4,2.0,-2,"-50,0%",2,2.0,0,"0,0%",136,139.0,3,"2,2%",14,19.0,5,"35,7%",156,162.0,6,"3,8%"
,PB,250340,Cacimba de Areia,1,1.0,0,"0,0%",1,1.0,0,"0,0%",8,15.0,7,"87,5%",8,16.0,8,"100,0%",3,2.0,-1,"-33,3%",21,35.0,14,"66,7%"
,PB,250350,Cacimba de Dentro,4,3.0,-1,"-25,0%",16,19.0,3,"18,8%",1,7.0,6,"600,0%",102,108.0,6,"5,9%",61,52.0,-9,"-14,8%",184,189.0,5,"2,7%"
,PB,250355,Cacimbas,0,0.0,0,#DIV/0!,1,3.0,2,"200,0%",7,7.0,0,"0,0%",22,23.0,1,"4,5%",15,14.0,-1,"-6,7%",45,47.0,2,"4,4%"
,PB,250360,Caiçara,16,19.0,3,"18,8%",23,21.0,-2,"-8,7%",3,32.0,29,"966,7%",51,51.0,0,"0,0%",36,32.0,-4,"-11,1%",129,155.0,26,"20,2%"
,PB,250370,Cajazeiras,21,24.0,3,"14,3%",919,968.0,49,"5,3%",3.093,2.189,-904,"-29,2%",3.087,3.241,154,"5,0%",2.727,2.749,22,"0,8%",9.847,9.171,-676,"-6,9%"
,PB,250375,Cajazeirinhas,0,0.0,0,#DIV/0!,0,0.0,0,#DIV/0!,22,3.0,-19,"-86,4%",1,1.0,0,"0,0%",5,5.0,0,"0,0%",28,9.0,-19,"-67,9%"
,PB,250380,Caldas Brandão,8,11.0,3,"37,5%",104,110.0,6,"5,8%",13,16.0,3,"23,1%",74,76.0,2,"2,7%",4,6.0,2,"50,0%",203,219.0,16,"7,9%"
,PB,250390,Camalaú,2,2.0,0,"0,0%",12,11.0,-1,"-8,3%",2,2.0,0,"0,0%",52,53.0,1,"1,9%",8,6.0,-2,"-25,0%",76,74.0,-2,"-2,6%"
,PB,250400,Campina Grande,166,126.0,-40,"-24,1%",17.134,16.682,-452,"-2,6%",5.769,6.884,1.115,"19,3%",22.373,22.924,551,"2,5%",54.087,60.16,6.073,"11,2%",99.529,106.776,7.247,"7,3%"
,PB,250403,Capim,15,19.0,4,"26,7%",0,4.0,4,#DIV/0!,1,9.0,8,"800,0%",45,62.0,17,"37,8%",75,68.0,-7,"-9,3%",136,162.0,26,"19,1%"
,PB,250407,Caraúbas,1,1.0,0,"0,0%",0,0.0,0,#DIV/0!,47,35.0,-12,"-25,5%",14,17.0,3,"21,4%",6,6.0,0,"0,0%",68,59.0,-9,"-13,2%"
,PB,250410,Carrapateira,0,0.0,0,#DIV/0!,0,0.0,0,#DIV/0!,3,0.0,-3,"-100,0%",1,1.0,0,"0,0%",5,5.0,0,"0,0%",9,6.0,-3,"-33,3%"
,PB,250415,Casserengue,0,0.0,0,#DIV/0!,58,59.0,1,"1,7%",11,11.0,0,"0,0%",37,41.0,4,"10,8%",14,14.0,0,"0,0%",120,125.0,5,"4,2%"
,PB,250420,Catingueira,1,0.0,-1,"-100,0%",0,0.0,0,#DIV/0!,25,13.0,-12,"-48,0%",30,19.0,-11,"-36,7%",15,27.0,12,"80,0%",71,59.0,-12,"-16,9%"
,PB,250430,Catolé do Rocha,11,11.0,0,"0,0%",966,1.036,70,"7,2%",81,107.0,26,"32,1%",708,754.0,46,"6,5%",1.344,1.404,60,"4,5%",3.110,3.312,202,"6,5%"
,PB,250435,Caturité,2,3.0,1,"50,0%",83,72.0,-11,"-13,3%",3,25.0,22,"733,3%",19,19.0,0,"0,0%",17,34.0,17,"100,0%",124,153.0,29,"23,4%"
,PB,250440,Conceição,0,0.0,0,#DIV/0!,11,12.0,1,"9,1%",44,89.0,45,"102,3%",214,221.0,7,"3,3%",206,210.0,4,"1,9%",475,532.0,57,"12,0%"
,PB,250450,Condado,7,7.0,0,"0,0%",7,6.0,-1,"-14,3%",32,49.0,17,"53,1%",25,27.0,2,"8,0%",31,20.0,-11,"-35,5%",102,109.0,7,"6,9%"
,PB,250460,Conde,213,194.0,-19,"-8,9%",1.558,2.122,564,"36,2%",357,281.0,-76,"-21,3%",1.908,2.393,485,"25,4%",1.601,1.727,126,"7,9%",5.637,6.717,1.080,"19,2%"
,PB,250470,Congo,8,10.0,2,"25,0%",55,60.0,5,"9,1%",1,2.0,1,"100,0%",57,50.0,-7,"-12,3%",10,11.0,1,"10,0%",131,133.0,2,"1,5%"
,PB,250480,Coremas,0,0.0,0,#DIV/0!,28,28.0,0,"0,0%",19,54.0,35,"184,2%",104,102.0,-2,"-1,9%",83,78.0,-5,"-6,0%",234,262.0,28,"12,0%"
,PB,250485,Coxixola,10,10.0,0,"0,0%",1,1.0,0,"0,0%",0,0.0,0,#DIV/0!,12,14.0,2,"16,7%",6,6.0,0,"0,0%",29,31.0,2,"6,9%"
,PB,250490,Cruz do Espírito Santo,161,163.0,2,"1,2%",163,216.0,53,"32,5%",12,12.0,0,"0,0%",96,84.0,-12,"-12,5%",170,171.0,1,"0,6%",602,646.0,44,"7,3%"
,PB,250500,Cubati,1,0.0,-1,"-100,0%",24,18.0,-6,"-25,0%",1,4.0,3,"300,0%",46,65.0,19,"41,3%",6,7.0,1,"16,7%",78,94.0,16,"20,5%"
,PB,250510,Cuité,69,71.0,2,"2,9%",38,47.0,9,"23,7%",14,21.0,7,"50,0%",291,306.0,15,"5,2%",167,175.0,8,"4,8%",579,620.0,41,"7,1%"
,PB,250520,Cuitegi,28,29.0,1,"3,6%",83,87.0,4,"4,8%",2,3.0,1,"50,0%",33,38.0,5,"15,2%",17,16.0,-1,"-5,9%",163,173.0,10,"6,1%"
,PB,250523,Cuité de Mamanguape,50,53.0,3,"6,0%",0,0.0,0,#DIV/0!,0,0.0,0,#DIV/0!,25,26.0,1,"4,0%",2,3.0,1,"50,0%",77,82.0,5,"6,5%"
,PB,250527,Curral de Cima,26,28.0,2,"7,7%",0,0.0,0,#DIV/0!,0,0.0,0,#DIV/0!,7,9.0,2,"28,6%",3,3.0,0,"0,0%",36,40.0,4,"11,1%"
,PB,250530,Curral Velho,0,0.0,0,#DIV/0!,0,0.0,0,#DIV/0!,0,0.0,0,#DIV/0!,1,1.0,0,"0,0%",3,3.0,0,"0,0%",4,4.0,0,"0,0%"
,PB,250535,Damião,0,0.0,0,#DIV/0!,0,0.0,0,#DIV/0!,2,0.0,-2,"-100,0%",32,30.0,-2,"-6,3%",12,10.0,-2,"-16,7%",46,40.0,-6,"-13,0%"
,PB,250540,Desterro,5,4.0,-1,"-20,0%",2,2.0,0,"0,0%",40,10.0,-30,"-75,0%",55,53.0,-2,"-3,6%",9,9.0,0,"0,0%",111,78.0,-33,"-29,7%"
,PB,250550,Vista Serrana,0,0.0,0,#DIV/0!,0,0.0,0,#DIV/0!,5,5.0,0,"0,0%",16,14.0,-2,"-12,5%",13,14.0,1,"7,7%",34,33.0,-1,"-2,9%"
,PB,250560,Diamante,0,0.0,0,#DIV/0!,3,3.0,0,"0,0%",0,10.0,10,#DIV/0!,29,29.0,0,"0,0%",6,7.0,1,"16,7%",38,49.0,11,"28,9%"
,PB,250570,Dona Inês,1,1.0,0,"0,0%",24,34.0,10,"41,7%",6,2.0,-4,"-66,7%",52,52.0,0,"0,0%",9,14.0,5,"55,6%",92,103.0,11,"12,0%"
,PB,250580,Duas Estradas,2,2.0,0,"0,0%",3,1.0,-2,"-66,7%",2,5.0,3,"150,0%",25,27.0,2,"8,0%",5,5.0,0,"0,0%",37,40.0,3,"8,1%"
,PB,250590,Emas,1,1.0,0,"0,0%",1,1.0,0,"0,0%",0,0.0,0,#DIV/0!,4,4.0,0,"0,0%",4,5.0,1,"25,0%",10,11.0,1,"10,0%"
,PB,250600,Esperança,155,182.0,27,"17,4%",297,334.0,37,"12,5%",48,66.0,18,"37,5%",1.792,1.87,78,"4,4%",681,832.0,151,"22,2%",2.973,3.284,311,"10,5%"
,PB,250610,Fagundes,4,3.0,-1,"-25,0%",10,13.0,3,"30,0%",29,16.0,-13,"-44,8%",121,64.0,-57,"-47,1%",16,125.0,109,"681,3%",180,221.0,41,"22,8%"
,PB,250620,Frei Martinho,0,0.0,0,#DIV/0!,5,7.0,2,"40,0%",0,0.0,0,#DIV/0!,20,18.0,-2,"-10,0%",2,2.0,0,"0,0%",27,27.0,0,"0,0%"
,PB,250625,Gado Bravo,2,2.0,0,"0,0%",0,1.0,1,#DIV/0!,0,0.0,0,#DIV/0!,15,14.0,-1,"-6,7%",4,4.0,0,"0,0%",21,21.0,0,"0,0%"
,PB,250630,Guarabira,734,758.0,24,"3,3%",3.183,3.623,440,"13,8%",296,626.0,330,"111,5%",2.726,3.066,340,"12,5%",2.456,2.59,134,"5,5%",9.395,10.663,1.268,"13,5%"
,PB,250640,Gurinhém,78,75.0,-3,"-3,8%",55,90.0,35,"63,6%",228,231.0,3,"1,3%",111,122.0,11,"9,9%",154,243.0,89,"57,8%",626,761.0,135,"21,6%"
,PB,250650,Gurjão,0,0.0,0,#DIV/0!,36,34.0,-2,"-5,6%",1,15.0,14,"1400,0%",14,17.0,3,"21,4%",9,8.0,-1,"-11,1%",60,74.0,14,"23,3%"
,PB,250660,Ibiara,2,2.0,0,"0,0%",5,4.0,-1,"-20,0%",3,1.0,-2,"-66,7%",39,47.0,8,"20,5%",24,31.0,7,"29,2%",73,85.0,12,"16,4%"
,PB,250670,Imaculada,0,0.0,0,#DIV/0!,10,9.0,-1,"-10,0%",2,3.0,1,"50,0%",27,28.0,1,"3,7%",30,29.0,-1,"-3,3%",69,69.0,0,"0,0%"
,PB,250680,Ingá,55,61.0,6,"10,9%",477,488.0,11,"2,3%",50,30.0,-20,"-40,0%",217,224.0,7,"3,2%",140,178.0,38,"27,1%",939,981.0,42,"4,5%"
,PB,250690,Itabaiana,100,107.0,7,"7,0%",69,66.0,-3,"-4,3%",81,79.0,-2,"-2,5%",649,729.0,80,"12,3%",500,475.0,-25,"-5,0%",1.399,1.456,57,"4,1%"
,PB,250700,Itaporanga,4,2.0,-2,"-50,0%",814,909.0,95,"11,7%",32,52.0,20,"62,5%",598,635.0,37,"6,2%",493,504.0,11,"2,2%",1.941,2.102,161,"8,3%"
,PB,250710,Itapororoca,523,515.0,-8,"-1,5%",54,75.0,21,"38,9%",22,26.0,4,"18,2%",249,243.0,-6,"-2,4%",54,68.0,14,"25,9%",902,927.0,25,"2,8%"
,PB,250720,Itatuba,42,41.0,-1,"-2,4%",376,430.0,54,"14,4%",0,3.0,3,#DIV/0!,61,64.0,3,"4,9%",18,20.0,2,"11,1%",497,558.0,61,"12,3%"
,PB,250730,Jacaraú,50,43.0,-7,"-14,0%",41,45.0,4,"9,8%",45,45.0,0,"0,0%",125,142.0,17,"13,6%",73,100.0,27,"37,0%",334,375.0,41,"12,3%"
,PB,250740,Jericó,1,1.0,0,"0,0%",28,25.0,-3,"-10,7%",1,1.0,0,"0,0%",37,33.0,-4,"-10,8%",21,56.0,35,"166,7%",88,116.0,28,"31,8%"
,PB,250750,João Pessoa,763,821.0,58,"7,6%",16.595,16.855,260,"1,6%",32.836,36.151,3.315,"10,1%",46.665,48.563,1.898,"4,1%",106.780,115.929,9.149,"8,6%",203.639,218.319,14.680,"7,2%"
,PB,250760,Juarez Távora,2,2.0,0,"0,0%",11,12.0,1,"9,1%",3,4.0,1,"33,3%",75,64.0,-11,"-14,7%",12,13.0,1,"8,3%",103,95.0,-8,"-7,8%"
,PB,250770,Juazeirinho,0,0.0,0,#DIV/0!,92,113.0,21,"22,8%",36,29.0,-7,"-19,4%",238,240.0,2,"0,8%",125,127.0,2,"1,6%",491,509.0,18,"3,7%"
,PB,250780,Junco do Seridó,0,0.0,0,#DIV/0!,166,141.0,-25,"-15,1%",7,5.0,-2,"-28,6%",72,91.0,19,"26,4%",25,21.0,-4,"-16,0%",270,258.0,-12,"-4,4%"
,PB,250790,Juripiranga,288,320.0,32,"11,1%",14,11.0,-3,"-21,4%",1,0.0,-1,"-100,0%",128,125.0,-3,"-2,3%",25,23.0,-2,"-8,0%",456,479.0,23,"5,0%"
,PB,250800,Juru,0,0.0,0,#DIV/0!,3,5.0,2,"66,7%",0,9.0,9,#DIV/0!,27,28.0,1,"3,7%",30,35.0,5,"16,7%",60,77.0,17,"28,3%"
,PB,250810,Lagoa,0,0.0,0,#DIV/0!,12,11.0,-1,"-8,3%",0,0.0,0,#DIV/0!,13,14.0,1,"7,7%",47,46.0,-1,"-2,1%",72,71.0,-1,"-1,4%"
,PB,250820,Lagoa de Dentro,13,12.0,-1,"-7,7%",5,4.0,-1,"-20,0%",1,6.0,5,"500,0%",64,64.0,0,"0,0%",16,19.0,3,"18,8%",99,105.0,6,"6,1%"
,PB,250830,Lagoa Seca,65,59.0,-6,"-9,2%",114,134.0,20,"17,5%",193,170.0,-23,"-11,9%",317,409.0,92,"29,0%",607,593.0,-14,"-2,3%",1.296,1.365,69,"5,3%"
,PB,250840,Lastro,0,0.0,0,#DIV/0!,0,0.0,0,#DIV/0!,0,0.0,0,#DIV/0!,4,6.0,2,"50,0%",2,4.0,2,"100,0%",6,10.0,4,"66,7%"
,PB,250850,Livramento,0,0.0,0,#DIV/0!,1,1.0,0,"0,0%",12,2.0,-10,"-83,3%",41,38.0,-3,"-7,3%",8,8.0,0,"0,0%",62,49.0,-13,"-21,0%"
,PB,250855,Logradouro,3,2.0,-1,"-33,3%",0,0.0,0,#DIV/0!,7,13.0,6,"85,7%",16,19.0,3,"18,8%",3,4.0,1,"33,3%",29,38.0,9,"31,0%"
,PB,250860,Lucena,34,37.0,3,"8,8%",829,832.0,3,"0,4%",43,25.0,-18,"-41,9%",116,104.0,-12,"-10,3%",157,173.0,16,"10,2%",1.179,1.171,-8,"-0,7%"
,PB,250870,Mãe d'Água,0,0.0,0,#DIV/0!,0,0.0,0,#DIV/0!,3,3.0,0,"0,0%",9,11.0,2,"22,2%",5,7.0,2,"40,0%",17,21.0,4,"23,5%"
,PB,250880,Malta,3,3.0,0,"0,0%",167,174.0,7,"4,2%",5,6.0,1,"20,0%",17,20.0,3,"17,6%",8,8.0,0,"0,0%",200,211.0,11,"5,5%"
,PB,250890,Mamanguape,1.301,1.194,-107,"-8,2%",3.251,3.395,144,"4,4%",234,311.0,77,"32,9%",1.454,1.487,33,"2,3%",1.080,1.23,150,"13,9%",7.320,7.617,297,"4,1%"
,PB,250900,Manaíra,0,0.0,0,#DIV/0!,0,1.0,1,#DIV/0!,77,48.0,-29,"-37,7%",18,25.0,7,"38,9%",28,28.0,0,"0,0%",123,102.0,-21,"-17,1%"
,PB,250905,Marcação,34,28.0,-6,"-17,6%",1,1.0,0,"0,0%",23,10.0,-13,"-56,5%",28,33.0,5,"17,9%",49,56.0,7,"14,3%",135,128.0,-7,"-5,2%"
,PB,250910,Mari,54,54.0,0,"0,0%",52,99.0,47,"90,4%",4,7.0,3,"75,0%",244,248.0,4,"1,6%",126,113.0,-13,"-10,3%",480,521.0,41,"8,5%"
,PB,250915,Marizópolis,0,1.0,1,#DIV/0!,44,46.0,2,"4,5%",9,10.0,1,"11,1%",46,48.0,2,"4,3%",49,39.0,-10,"-20,4%",148,144.0,-4,"-2,7%"
,PB,250920,Massaranduba,21,22.0,1,"4,8%",57,107.0,50,"87,7%",22,21.0,-1,"-4,5%",100,107.0,7,"7,0%",45,41.0,-4,"-8,9%",245,298.0,53,"21,6%"
